"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 10 20:42:28 GMT 2022","Thu Nov 10 20:46:29 GMT 2022","241380","firefox","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the random Use Case article from the Main page",""
"passed","Thu Nov 10 21:01:47 GMT 2022","Thu Nov 10 21:01:58 GMT 2022","10279","Microsoft Edge","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Voice API"" service",""
"passed","Thu Nov 10 20:45:31 GMT 2022","Thu Nov 10 20:45:47 GMT 2022","16603","firefox","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Reset password by the ""Forgot your password"" link on the Log in page",""
"passed","Thu Nov 10 20:55:06 GMT 2022","Thu Nov 10 20:55:48 GMT 2022","42647","webkit","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Reset password by the ""Forgot your password"" link on the Log in page",""
"passed","Thu Nov 10 20:31:08 GMT 2022","Thu Nov 10 20:31:19 GMT 2022","10962","chromium","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Integrations page from main page and become a Beta Tester by filling in the all fields with random valid data",""
"passed","Thu Nov 10 20:46:09 GMT 2022","Thu Nov 10 20:46:22 GMT 2022","12476","webkit","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Partners page and become a Telnyx Partner by filling in the all fields with random valid data",""
"passed","Thu Nov 10 21:01:09 GMT 2022","Thu Nov 10 21:01:21 GMT 2022","12355","Microsoft Edge","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the random Use Case article from the Main page",""
"passed","Thu Nov 10 20:51:58 GMT 2022","Thu Nov 10 20:52:42 GMT 2022","44463","webkit","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in required fields with random valid data",""
"passed","Thu Nov 10 20:35:43 GMT 2022","Thu Nov 10 20:35:51 GMT 2022","8080","chromium","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the ""TeXML"" doc page from the main page",""
"passed","Thu Nov 10 20:44:49 GMT 2022","Thu Nov 10 20:45:07 GMT 2022","17890","firefox","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website with blocked account with valid data on the Main page",""
"passed","Thu Nov 10 21:05:21 GMT 2022","Thu Nov 10 21:05:29 GMT 2022","8509","Microsoft Edge","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Reset password by the ""Forgot your password"" link on the Log in page",""
"passed","Thu Nov 10 21:01:13 GMT 2022","Thu Nov 10 21:01:33 GMT 2022","19699","Microsoft Edge","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the ""TeXML"" doc page from the main page",""
"broken","Thu Nov 10 20:40:46 GMT 2022","Thu Nov 10 20:44:47 GMT 2022","240938","chromium","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in requireds fields with already registered email",""
"passed","Thu Nov 10 20:45:51 GMT 2022","Thu Nov 10 20:46:09 GMT 2022","18418","webkit","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Integrations page from main page and become a Beta Tester by filling in the all fields with random valid data",""
"passed","Thu Nov 10 21:01:53 GMT 2022","Thu Nov 10 21:02:16 GMT 2022","22866","Microsoft Edge","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in required fields with random valid data",""
"broken","Thu Nov 10 21:10:33 GMT 2022","Thu Nov 10 21:14:33 GMT 2022","240819","Microsoft Edge","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in requireds fields with already registered email",""
"passed","Thu Nov 10 20:31:09 GMT 2022","Thu Nov 10 20:31:29 GMT 2022","20459","chromium","contact.support.spec.ts","Test suite with support contact cases","","","Go to ""Contact us"" page from the Main page and request support by filling all fields with random valid data",""
"passed","Thu Nov 10 20:45:07 GMT 2022","Thu Nov 10 20:45:19 GMT 2022","11369","firefox","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website without email with valid data on the Main page",""
"passed","Thu Nov 10 20:51:55 GMT 2022","Thu Nov 10 20:52:34 GMT 2022","38922","webkit","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Voice API"" service",""
"passed","Thu Nov 10 20:47:30 GMT 2022","Thu Nov 10 20:47:58 GMT 2022","27836","webkit","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Download SMS pricing CSV file from the Messaging pricing page ",""
"passed","Thu Nov 10 20:32:04 GMT 2022","Thu Nov 10 20:32:11 GMT 2022","7193","chromium","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Voice API"" service",""
"passed","Thu Nov 10 20:33:06 GMT 2022","Thu Nov 10 20:33:12 GMT 2022","5921","firefox","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Partners page and become a Telnyx Partner by filling in the all fields with random valid data",""
"passed","Thu Nov 10 20:53:08 GMT 2022","Thu Nov 10 20:56:29 GMT 2022","201739","webkit","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the random Use Case article from the Main page",""
"passed","Thu Nov 10 20:48:44 GMT 2022","Thu Nov 10 20:49:05 GMT 2022","21329","webkit","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the ""TeXML"" doc page from the main page",""
"passed","Thu Nov 10 20:31:23 GMT 2022","Thu Nov 10 20:31:39 GMT 2022","15813","chromium","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Downolad SIP Trunking pricing CSV file from the Elastic SIP Trunking price page",""
"passed","Thu Nov 10 20:48:24 GMT 2022","Thu Nov 10 20:48:44 GMT 2022","20151","webkit","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the ""Programmable Wireless Reporting and Analytics"" support article from the Main page",""
"passed","Thu Nov 10 20:31:29 GMT 2022","Thu Nov 10 20:31:43 GMT 2022","14178","chromium","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Download SMS pricing CSV file from the Messaging pricing page ",""
"passed","Thu Nov 10 20:56:40 GMT 2022","Thu Nov 10 20:56:54 GMT 2022","14032","Microsoft Edge","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Downolad SIP Trunking pricing CSV file from the Elastic SIP Trunking price page",""
"passed","Thu Nov 10 20:56:59 GMT 2022","Thu Nov 10 20:57:11 GMT 2022","12094","Microsoft Edge","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the ""Programmable Wireless Reporting and Analytics"" support article from the Main page",""
"passed","Thu Nov 10 20:31:19 GMT 2022","Thu Nov 10 20:31:30 GMT 2022","10781","chromium","contact.support.spec.ts","Test suite with support contact cases","","","Send report abuse link from the Main page",""
